Serial Number:20293298 --

Date Time - GMT +05:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Button Down,EOF,
2018-05-07 16:08:23,53.31,99.98,53.33, , , ,
2018-05-07 16:23:23,53.23,99.87,53.22, , , ,
2018-05-07 16:38:23,53.15,99.98,53.17, , , ,
2018-05-07 16:53:23,53.00,99.98,53.02, , , ,
2018-05-07 17:08:23,53.08,99.98,53.10, , , ,
2018-05-07 17:23:23,52.92,99.98,52.94, , , ,
2018-05-07 17:38:23,52.77,99.98,52.79, , , ,
2018-05-07 17:53:23,52.77,99.40,52.63, , , ,
2018-05-07 18:08:23,52.77,99.82,52.74, , , ,
2018-05-07 18:23:23,52.69,99.40,52.55, , , ,
2018-05-07 18:38:23,52.54,99.82,52.51, , , ,
2018-05-07 18:53:23,52.54,99.82,52.51, , , ,
2018-05-07 19:08:23,52.61,99.80,52.58, , , ,
2018-05-07 19:23:23,52.46,99.77,52.42, , , ,
2018-05-07 19:38:23,52.30,99.98,52.32, , , ,
2018-05-07 19:53:23,52.38,99.74,52.33, , , ,
2018-05-07 20:08:23,52.07,96.07,51.01, , , ,
2018-05-07 20:23:23,51.45,98.47,51.06, , , ,
2018-05-07 20:38:23,51.38,98.79,51.07, , , ,
2018-05-07 20:53:23,51.45,99.21,51.26, , , ,
2018-05-07 21:08:23,51.53,99.61,51.45, , , ,
2018-05-07 21:23:23,51.45,99.27,51.28, , , ,
2018-05-07 21:38:23,51.22,98.39,50.81, , , ,
2018-05-07 21:53:23,50.99,99.13,50.78, , , ,
2018-05-07 22:08:23,50.76,97.54,50.11, , , ,
2018-05-07 22:23:23,50.30,97.83,49.73, , , ,
2018-05-07 22:38:23,50.06,98.21,49.60, , , ,
2018-05-07 22:53:23,49.83,98.60,49.48, , , ,
2018-05-07 23:08:23,49.76,98.60,49.40, , , ,
2018-05-07 23:23:23,49.68,98.58,49.31, , , ,
2018-05-07 23:38:23,49.52,98.15,49.04, , , ,
